                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  1.212,                0.87723,                  1.173,                 1.3986,                 1.0798,                 1.1601,                0.51602,                0.41501,                0.42234,                0.22976,                 1.5621,                 1.0769,                 1.2814,                 1.8009,                 1.3961,                 1.2669,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.2106,                0.87051,                 1.1715,                 1.3918,                 1.0706,                 1.1572,                0.55516,                0.41355,                0.42328,                0.23198,                 1.5382,                 1.0808,                 1.2631,                 1.7722,                 1.3838,                 1.2567,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.2128,                0.87765,                 1.1808,                 1.3883,                 1.0777,                 1.1702,                0.56883,                0.42258,                0.44305,                 0.2438,                 1.5367,                 1.0601,                 1.2669,                 1.7619,                 1.3699,                 1.2524,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.2125,                 0.8665,                 1.1684,                 1.3981,                 1.0667,                 1.1572,                0.60295,                0.39504,                0.44892,                0.25195,                 1.5381,                   1.06,                 1.2672,                 1.7695,                 1.3571,                 1.2535,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.1717,                0.81273,                 1.1654,                 1.3374,                0.96292,                 1.1598,                0.51601,                0.40206,                0.43034,                0.24247,                 1.5289,                 1.0659,                 1.2685,                 1.7679,                 1.3822,                 1.2484,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.1598,                0.79765,                 1.1523,                 1.3198,                0.94735,                 1.1482,                0.54322,                 0.3742,                0.42743,                0.24086,                 1.5457,                 1.0707,                 1.2783,                 1.7759,                 1.3695,                 1.2523,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.1585,                0.80058,                 1.1543,                 1.3206,                0.94802,                 1.1498,                0.50105,                0.38761,                0.42019,                0.23463,                  1.529,                 1.0649,                 1.2699,                 1.7647,                 1.3733,                 1.2513,              0.0001101,              0.0001101,              0.0001101
                     94,                   1.16,                0.79357,                 1.1551,                 1.3164,                0.93884,                 1.1487,                0.53939,                0.36214,                  0.412,                0.23296,                 1.5312,                 1.0704,                 1.2682,                 1.7549,                 1.3615,                 1.2521,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.1537,                 0.7894,                 1.1529,                 1.3128,                0.94021,                 1.1477,                0.51773,                 0.4115,                0.42131,                0.23688,                 1.5219,                 1.0702,                 1.2662,                  1.757,                 1.3811,                  1.247,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                  1.155,                 0.7878,                  1.151,                  1.312,                 0.9329,                 1.1439,                0.59393,                0.39328,                0.42701,                 0.2419,                 1.5335,                 1.0783,                 1.2701,                 1.7505,                 1.3831,                 1.2443,             7.7103e-05,             7.7103e-05,             7.7103e-05
